Author;Komentar;Klasifikasi
Eli Lutfiya;tumis bunga pepaya mantepp banget;positif
mitha sabrina;enak banget kak sambelnya;positif
shania tomubali;kak coba deh cirebon cinnamon gitu parah kata enak banget;positif
fahmi Ramadhan;enak;positif
Jualan KAOS;enak;negatif
Erma Nursabrina;enak banget kaya;positif
Sri Wahyuni;murah;positif
Winda Prasetya;enak bngett;positif
Rhicha Nhovea;sambel kecombrang nya mantap pokok nya;positif
lemonade fm;makan makan enak kokpelayanannya mantap bangetbeverage nya rakyat jelata seperti sih wahhhh bangetdan penting harga affordable banget ukur makan western mevvah jadi ntah apa kontroversi ownernya luar sanagaperlu bawa negatif karya nya;positif
Neni Rohmanomon;restoran mewah harga nya murah ny enak banget sukses terus mas reino barak;positif
Brave Heart;harga makan jangkau sih pertama lihat si empunya bayang harga mahal;positif
dear Marsha;asik banget tempat lihat nyaman sayang lidah lidah kampung suggest nya asa makan kena nasi;positif
Zenny Makeup;iya jorok banget yaa ampun centong es taro dalem wkwk;negatif
Riska Ashang;fikir makan resto mas reino bakal mahal banget nyata murah coba makassar disni nih tempat favorit keluarga;positif
mahardyanti kusumawardhani;makan waktu mingguminggu pertama buka pattynya bener asin saus lumayan enak pizzanya waktu kecewa toppingnya copot beri masuk staf lihat video tingkat enak sih minum kopi puas kopi enak;netral
Pat Tsang;sepiii restonya daging usa tetelan muraaahan;negatif
april iin;harga masuk trjangkautmptnya wow;positif
YUREFLINA ISA;enak makan mantap yummy;positif
rosa diga putri;enak banget sih;positif
Omanah Sule;wahhh mantap;positif
Nurul annisa maydina;enak tuh bikin ngiler kak ken grat;positif
titin sugiyarti;murah kirain mahal coba;positif
Haha 2430;woouwwmantab;positif
J'aS CHANNEL;mewaahh makan nya;positif
Bunga Cendani;kaget harga masuk murah kafe kampung harga mahal lha jakarta dapet segitu masuk jangkau turut;positif
cake cake;spagetty sda bawang bombaybdan paprika anak suka bangett mentah suka bombay paprika nya;positif
Ribka Lubis;sistem minum nya kayak jepang jepang restoran rata minum ambil kayak restoran saizeriya gasto mantap;positif
Mokoni Erli;woww resto mewa murah;positif
Efhreim Sibuea;mantap djiwa;positif
Yuli Darmawan;syahreino buka surabaya kpn nih menu suka my fam;positif
Abigael Jane;enak kata omurice nya;positif
ICUTE MH NOORIZ;harga pizza mayo corn nyaa resto ala japan and western gin mahhh murahh bangeddd tambah dgn double cheese melted jadi worth it dehhhh menu nyaa kliatan giur bangedd;positif
Fitra Nurtopan;ulalalaaaaaa ngiler jangkau harga kirain mahal jd nyobain;positif
Zacinda HPT;enakkkk mrnurut gue bikin jg;positif
syr barack;sucsees terus chanelnya yaa broo masakan situ enak enak lho teman teman hrs coba yaa foodday milik pakai renobarack;positif
Leneth Crown;wiih mantap hamburger nya kaya saos nya saos demiglace;positif
angler 027;edian murah loh berger nya pakai keju;positif
G Ozawa;sih suka rasain resto mewah harga jangkau;positif
Wani Wani;tempat lokasinyasangt bersih;positif
The din kenong Kenong;restoran luar biasamnm ngmbil sendri kayak resto ditaiwanhrgny jg mhal kirain mahal temptny mewah trnyta hrgny trjngkau dg kntong orang menengh;positif
meisme akuni;murah banget;positif
cak pri malang;wow enak banget;positif
Zulfikar Tanjung;murah sih kirain bakal mahal banget;positif
Aprita Aprita;enak makan harga jangkau;positif
Nn mey;mahal sih harga kelas reino;positif
MARIA RAFFI;suka harga mahal setandar;positif
Ayupita Apsari;murah coba deh buka lombok;positif
amelia;keren;positif
Ayupita Apsari;murah coba deh buka lombok;positif
sheila shaqila;halo kak ken kak grat kakak cobain makan resto ayam goreng dago ciledug makan enak enak banget murah jamin gak bakal sesal tagih saung saung nya rekomendasi banget deh tempat ikan nila bakar juara banget pokok makan top banget deh;positif
burung hantu;enak banget harga setandar;positif
Imelda Bhoki;enak;negatif
Putri Kharisma;harga jangkau;positif
asmawati Akun;kesana makan enak enak lho bikin kantong bolong punya syahreino pasang terlove;positif
dol lol;enak bener mantul;positif
Moureen;enak;positif
Moureen;enak;positif
Rahmah Yuniar;porsi;positif
Suto Negoro;harga jangkau;positif
Ratna Kusumawati;enak buka surabaya bandung;positif
Amira Amira;makann dstu ksukaan ku;positif
siti zulaikah;enak tuh mahal puas perut;negatif
Innuendo;spaghettinya tampak tahu gak enak;negatif
Neni Rohmanomon;restoran mewah banget sukses mas reino barak;positif
Deya Elseven;pronto enak sayang skg pim doank tempat lg pd lg mall anggrek tutup;positif
Ajrin Syarafina;suka makan tempat favorit keluarga baru tau punya pak tri hahaha;positif
sumi yati;murah banget mknn an ribu;positif
Rasendrya Bayutanaya;mantap;positif
EBOSAURUS;sumpah nostalgia banget pas banget makan;positif
florensia kirana;makan enaaaaak worth it bangett;positif
Angel Lie;klo makan pronto dlu caramel pudding nya enak jaman ku sd smp sih hahaha;positif
wita choco;ngomong ngomong ai makan team ai puas enakk;positif
Andre Hartana;bro coba rumah makan bumi nini cisarua menu nya oke banget;positif
Sila F;ahh smp gatau sma kesinidkt bakmi gm enak enak iniiii tutup nostalgiaaa;positif
lessa octaria;makan fav;positif
Nahiya Albahry;cobain mielaksa bro hidden gem bogor belah hotel mirah gilaaa enak banget laksa singapore nya;positif
Rosa Lubis;pronto all eat terdebest gue makaniga bakarnyapanacottacreme brulenya omigod enak bangetcapucino nya bikin;positif
ridwan hartanto;kira kira buka cabang bandung tempat jamin laku;positif
Nining Shudiarti;rb orang guys cobaainn kyknya mantap;positif
A Ikhwan;wuihhh pronto pim gue smp tahun mantap;positif
Ayu khumaeroh;pasang youtuber kusukaaaa kesanah ihhhh kayak enak bgttt;positif
Kholif Dewi wijayanti;menu nya enak enak banget rb murah banget lha;positif
Ersa Aprilia Said;teman makan favorit makan situ terus baru tahu punya pak menteri;positif
Henny Tonjes;wow keren banget all eat italian food murah terimakasih mr thohir and enjoy guys;positif
Nunx'ea Az-zain 29;favorit and grat;positif
Aura Yamani;resto favorite gue pas makan steak kelenger hehe;positif
Nanda Nurhaqqy;cobain marche cukup akhir kesana pas lumayan enak wajib coba;positif
MELISAY - ASMR;aduh mantab nih;positif
Maisie Hawadi;pas sd makan pronto allyoucaneat korean baru tau punya pak erick thohir;positif
Ferina Precelia Kamaludin;pronto sby tutup sedih suka banget;positif
Sari Olivia;gile murah makan pilih lg;positif
melly love;waaw enak banget bikin ngeceeez;positif
Rin Run;surabaya tutup tempat asik makan mayan;positif
Jamila Imran;suka banget makan prontodlu resto prontobru tau klw punya pak erik thohirdlu klp gadingtaman angrek plaza senayantpi sepertix tutuppdhl enak murah;positif
Eti Yuminarti;yaa jng tutup pronto suka skl makan sana asik tempat nya jg ngobrol;positif
rinne sulistya;ooo pronto punya pak erick banget buffet emang enak sih kelapa gading gak;positif
Fabian Ramadhan;enak sih cm kembung habis makan hahahha;positif
marso marso;murah ribu;positif
Narti Kotik;huo enak banget makanlaper lihatya;positif
zuraida kusuma dewi rachmad akbariarta;beneran tuh rb kurang murah;positif
Ira Indrihastuti;sby tutup enak makan;positif
Hana Morina;mayan rasa;positif
Steven Tanaya;soto betawi mamat cabang pertama bsd latinos reccomended parah enak banget;positif
Bims 4 Review;wuih restoran gue nyata pronto pim hehe mantapsss;positif
17-550 Arrasy Qisthy Subekti;amal kayak murah;positif
EKA DARMAH SANTI;wih murah surabaya;positif
miss cleopatra;pronto waktu tahun kelapa gading mall asli seh enak banget harga nya dl murah;positif
Agustina Tri M;ka kengrat merah merah jelly ka creme brulee klo pronto wajib cobain karna enak bgtttt;positif
AJIEK ã¢ã¤ STONEMAN;duh iga bakar banget;positif
Surya Pangestu;dapet iga pasta pizza lasagna murraaahhh banget;positif
Magdalena Rosa Siska;kepiting situngku raja saos bagan siap api mampang enak banget;positif
Myla Suryani;sedih banget tanggal desember bulan pronto tutup habis makan bulan enak enak makan nya;positif
Bunda Kucel;baru tau punya pak erik tohir suka potato chips iga baik saus pisah soal mbakya tau siram saos kacang haha enak wajib lasagna wuenak ato makaroni skutel lupa puding panacota krim brule rugi bayar rb;positif
Tya Fr;enak banget;positif
Realita Realita;mah harga murah enak raffi debest;positif
Rini kanaya;baru kemaren nyobain belitenderloin sirloin ribs bbq ongkir ribu jd total transfer hitung murah makan diresto ato warung steak pd umum nya binggung murah dapet diskon beli pertama soal klo total an list harga;positif
Rafly Ghifari;gue sih dgn kualitas kek gitu murah dibandingin makan artis;positif
marsha chrisandi;auto ngiler pesan turut harga lhaa;positif
Yulia Ilmi;mama amy kerensih produk ngandalin nama anak bdia mentingin kualitas salut gue;positif
Indra putra Permana;murah bat anjir;positif
Muhammad Fulqan;enak sih ni daging nya makan;positif
e2nx gibran;steak kwalitas kaya gitu sih murah gue;positif
Nurfalina SH;murah banding punya uy;positif
Neneng Gadies Desa;nyobain dounathink donk ko punya baim sumpah ngiler banget tuh sayang jangkau;positif
Harris Tan;teflon enak grilll nya;positif
SRI_ 17;waktu ngebacain harga kaget banget murah ituuu;positif
R S;artis pesan catering makan mybbq emang enak kata nikita mirzani pesan cateringnya endorse kasih bonus tambah klo rafi bilang sih klo traktir makan ato sedekah makan tengah ikan baik klo urus beri makan bikin murah biar orang ngerasin jg;positif
Gemayy Chkiyy;murah banget;positif
Kiki Annisa;tamu tamu nya rans main rumah makan my bbq nagih coba kirim luar kota ngiler banget anak kuliner mantap ngeriview;positif
Amely Theo;nagita mah standar nya tinggi masalah taste bikin kaget harga nya murah bangeett tara daging impor;positif
Evita ADR;dibilng murah loh;positif
Delisha Jasmine;lumayan murah yaa punya artis;positif
One Heart;harga steak segitu masuk murah lhowaloupun beli;positif
Bunda Ammar;koh da order brkali klo masak cm pakai butter bwang putih dksih bumbu sirloin ribsnya favorit banget sihhhhh recomended;positif
M Fersyando Melsi;murah kualitas taste tinjau mantap coba;positif
Yuda Yuda;murah banget koh apalgi artis wooww banget;positif
Nur Hidayah;harga lumayan murah lo lihat dri daging besar gue makan steak restorab besar batam steaknya tipis gosong hrganya lo;positif
Lyra Hazel;pucat banget ko steaknya wkw;negatif
Sandi Aditya;worth it sih harga segitu kilas bentuk lemak daging dipake daging meltique jadi enak juicy empuk;positif
Achmad Rizaldi;koh tinjau cubeef punya nya elaine hartanto koh sumpah enak banget kaya ricebowl gitu porsi lumayan koh;positif
Septi Ana;cobain wagyu ko beuuhhhhh enaaaakkkk bgtttt;positif
Anditha 16;steak murah daging liat bagus banget;positif
Nia ardina;harga nya masuk akal banget si daging woww jadi ngiler;positif
ramadhan riyanto;coba enak bngt pas acara manggil my bbq;positif
Ralinessa Indah;mantul my bbq by mama amy sukses terus ko fel;positif
Litta Ristiani;murah banget steak sultan andara worth it kalang tengah;positif
Olahan ikan UENAX khas Bawean - SBY;harga terhangkau bangett ituu ukur steak andai kirim surabaya;positif
Ian YAI;harga kualitas kayak worth banget yah koh kek minus bbq;positif
Iing Yudha paramita;harga segitu masuk murah sih worth it daging import lokal;positif
Alena Gaby;haha ekspresi bohong banget ko kliatan benar enak haha;positif
Allian Dwi;murah banget dah gitu enak;positif
uwan dapis;waw tumben felix gada kritik buatt makan tinjau arti makan nya enak banget tuhh;positif
Fitri Aulia;asli bikin ngiler;positif
Mariana;muraaah ituh;positif
arcadya 19;gue nyobain sirloinnya pas promo free ongkir enak kenyaang rb incl kentang saus worth it bangeeet;positif
Shf;wa gila worth it banget dgn harga segituuu toloonggg mauuuu;positif
Meli Amalia;murah liat enakkkk;positif
S&A life;lihat lembut enak baru mateng langsung emplok tambah selamat tonton gaes;positif
ninamaru;murah;positif
Utty Putri;gilaaa sih ibu hamil jadi kepinginn hrga nya murah look nya giur banget;positif
Shinta Soewiryo;murah;positif
Marini Anggraini;gue ngiler kata nya kirim cepet gue pesan dri malam sore bgini dteng alesanya kurir suruh wa kurir nya profesional banget klo usaha kelas artis gue rasa koko bayar nih naikin rating kesel;negatif
Bunda Ammar;bom nonton komen ah steak favorit banget murah riah aplgi rumah;positif
Me ForMe;daging import kualitas oke produk artisa jual nmaa masuk muraaahhuhuu kirain sblumny my bbq mhal imagenya exclusive banget liat ig raffi tmenny;positif
dela angraini;emang sultan andara jual bagus banget mulai baju makan gak ngecewain;positif
Yoga Eka;steaknya olah ala meltique muraaaah;positif
Eddy H.S;selamat sore felix mantaap bbq mama amy selamat makan opa antiskipiklan;positif
ys rizqiyyah;favorit banget nyummy;positif
Listya Arieza;klo liat harga reviewnya rasa kwalitas daging banget masuk murah lhoo cuuss ah orderr ngencess;positif
Ika Srindayu;harga nya jangkau;positif
aku sita;ribsnya empuk banget harga tengah bawah mahasiswa beli arti buruh sanggup beli yaa beli segitu gapapa penting gak hari;positif
Ariska adi;muraaah banget allah;positif
my love my love;jangkau enak gue pesan enak;positif
mBa ' puT channel;harga murah bgd truz lihat makan perut jd demoo;positif
Cita Anggara;steak kalang artis masuk murah bngt sih gak jenis stik;positif
Kevin Master;murah daging pakai daging meltique;positif
Gitgit Yuaemon;mantap koh;positif
MARDIANA 123;mantap;positif
chy. ASMR;goda banget makan nya;positif
resti karlina;masuk murah siii harga gak uras uras wakaka;positif
Ima Tuzz;murah banget deket mah langsung cus kesana;positif
blessynsky nicoline;murah banget sih;positif
Rumah Ayla;rib nya enak banget murah;positif
nuy agustin;makan mahal bukti endol packing ny rapih tata dpn baik asl packing makan dri makan mahal endol packing ny asal emg dagang pulang murah endol rasa ny;positif
Neni Rohman;bbq ny rans murah banget sih mh soal ny jual nama jual rasa andai indo pesan;positif
atha leea;murah;positif
RARA;gue kaget sih harga murah lho ukur steak;positif
winda ayunilam;murah si hrgany msk akal;positif
Ka Vie;kelas muraaah bangeeeeett;positif
zhou lie;rly murah bnget sumpah klau indo my cobain makan stek ampk harga juta hahahahah;positif
Sulis Titan;murah ea makan mahal murah sukses mami amy sukses sllu ny aamiin;positif
Rodiyah Amd. Kep;cinta steak bilank murah riah in;positif
Elsa Kyu;masuk murah;positif
Bella;edun murah dg harga segitu daging berkwalitas;positif
frenzy zidan;murah banget yy steak import;positif
luli NY;enak jadi ken;positif
felly lestiawati;murah anjir segitu harga very worth it;positif
g. nastiti;itungannya masuk murah banget jual artis steak;positif
dwarr r;murahh sih masuk akal harga;positif
Maghfiroh Lailatul;asli murah banget sih turut ukur segitu;positif
Puan Gangga Mahira Bakhita;murahhh banget harga;positif
Adisti Alqurani;ku murah sih steak harga segitu;positif
AI Channel;mantap enak lezat;positif
MorgaineTheWitch;lihat tampil kurang giur sih tarik;negatif
Albert Wijaya;rasa harga layan mantap;positif
Diah Aprianti;gue makan artis murah steaknya;positif
uwuwu;untung daging ukur murah sih dgn harga segituu;positif
Little Meatball;murahnyaaaaaa kualitas segitu artis;positif
reyli palar;keren murah banget;positif
Athallah Noufal;tinjau masakan dapoermamamontok bg asli enak kali;positif
Nurul Usrah;murah banget yahhhh kaleng;positif
Ayuni Ajha;harga sahabat banget jadi apeng;positif
Koesnadi DJ;mantap steak neeee;positif
elfa Zadarip;wow turut harga nya pas enak banget lapeer nih;positif
jati lawang;ngiler ribs;positif
Risda Lestari;harga murah kualitas;positif
maskhuril khomis;koh cobain burger lawless gofar hilman burger lem enak deh pokok koh wajib coba;positif
novita andrian;murah atuh segitu mah harga ukur steak gitu gede loh;positif
andinurkumala sari;gilaaaaaa murah bangeeettt;positif
tasya chikita;pantesan murah daging meltique;positif
siti nurleni;murah nyoba ni;positif
Yanti;mantaapp jiwaaa;positif
